"ID","Date","Site .","Transect","Species","Trap No","Tag/ Clip","Fate","Sex","Reprod","Mass","Bait","Notes","tail","hindfoot","ear","SK notes","Field17","Field18","Field19","Field20","Field21","Field22","Field23","Field24","Field25","Field26"
119,8/8/2011 0:00:00,"Beaver Ponds","Riparian","Sorex sp.","W48","t","Released",,,,"PB",,,,,,,,,,,,,,,
120,8/9/2011 0:00:00,"Beaver Ponds","Riparian","Sorex monticolus","W10","u","Collected",,,4.00,"PB","Dead in trap",44.00,12.00,,"4","ID based with skull & dentition characteristics; dead in trap; no ear tag. Both skulls tagged 834, this one slightly longer skull length therefore assumed it was 834",,,,,,,,,
121,8/9/2011 0:00:00,"Beaver Ponds","Riparian","Sorex cinereus","W18","v","Collected",,,2.50,"PB","Dead in trap",41.00,12.00,,"ID based with skull & dentition characteristics; dead in trap; no ear tag",,,,,,,,,,
122,8/9/2011 0:00:00,"Beaver Ponds","Riparian","Sorex sp.","W30","w","Released",,,,"PB",,,,,,,,,,,,,,,
123,8/9/2011 0:00:00,"Beaver Ponds","Riparian","Sorex cinereus","W41","x","Collected",,,3.00,"PB","Dead in trap",39.00,11.50,,"ID based with skull & dentition characteristics; dead in trap; no ear tag",,,,,,,,,,
124,8/7/2011 0:00:00,"Beaver Ponds","Meadow","Spermophilus lateralis","M26","348","Marked","Female","NR",190.00,"SEED",,,,,,,,,,,,,,,
125,8/8/2011 0:00:00,"Beaver Ponds","Meadow","Spermophilus lateralis","M28","348","Recap","Female","NR",190.00,"SEED",,,,,,,,,,,,,,,
126,8/9/2011 0:00:00,"Beaver Ponds","Meadow","Spermophilus lateralis","M21","348","Recap","Female","NR",180.00,"SEED",,,,,,,,,,,,,,,
127,8/7/2011 0:00:00,"Beaver Ponds","Meadow","Spermophilus lateralis","M43","372","Marked","Male","NS",80.00,"PB",,,,,,,,,,,,,,,
128,8/7/2011 0:00:00,"Beaver Ponds","Meadow","Spermophilus lateralis","M45","385","Marked","Female","NR",69.00,"PB",,,,,,,,,,,,,,,
129,8/9/2011 0:00:00,"Beaver Ponds","Meadow","Spermophilus lateralis","M44","385","Recap","Female","NR",74.00,"PB",,,,,,,,,,,,,,,
130,8/6/2011 0:00:00,"Beaver Ponds","Meadow","Spermophilus lateralis","M43","3975","Marked","Female","R",,"PB",,,,,,,,,,,,,,,
131,8/7/2011 0:00:00,"Beaver Ponds","Meadow","Spermophilus lateralis","M22","3975","Recap","Female","R",190.00,"PB",,,,,,,,,,,,,,,
132,8/8/2011 0:00:00,"Beaver Ponds","Meadow","Spermophilus lateralis","M21","3975","Recap","Female","R",190.00,"PB",,,,,,,,,,,,,,,
133,8/8/2011 0:00:00,"Beaver Ponds","Meadow","Spermophilus lateralis","M22","3981","Marked","Female","NR",79.00,"PB",,,,,,,,,,,,,,,
134,8/9/2011 0:00:00,"Beaver Ponds","Meadow","Spermophilus lateralis","M40","3981","Recap","Female","NR",85.50,"PB",,,,,,,,,,,,,,,
