"ID","Date","Site","Observer","Trap No","Bait","Species","Tag/ Clip","Indiv","Fate","Sex","Reprod","tail","hindfoot","ear","Mass","Notes","ID notes"
299,7/9/2012 0:00:00,"Grouse Point","JH","F49","PB","Tamias minimus",3791.00,"3791","Ear tag","Male","Scrotal",91.00,28.00,14.00,44.00,,
300,7/10/2012 0:00:00,"Grouse Point","SY","F54","PB","Tamias minimus",3791.00,"3791","Recap","Male","Scrotal",,,,43.00,"Slightly scrotal. Fairly small bulge",
301,7/9/2012 0:00:00,"Grouse Point","JH","F37","PB","Tamias minimus",3793.00,"3793","Ear tag","Male","Scrotal",85.00,24.00,14.00,46.00,,
302,7/9/2012 0:00:00,"Grouse Point","SK","F16","Seed","Tamias minimus",3794.00,"3794","Ear tag","Male","Scrotal",94.00,29.00,13.00,29.00,,
303,7/9/2012 0:00:00,"Grouse Point","JH","F24","PB","Tamias minimus",3795.00,"3795","Ear tag","Female","Reprod.",93.00,28.00,13.00,52.00,,
304,7/9/2012 0:00:00,"Grouse Point","JH","F26","PB","Tamias minimus",3796.00,"3796","Ear tag","Male","Non-scrotal",89.00,30.00,13.00,41.00,"Called S in hand, but NS in other capture",
305,7/11/2012 0:00:00,"Grouse Point","SK","F34","PB","Tamias minimus",3796.00,"3796","Recap","Male","Non-scrotal",,,,40.00,,
306,7/9/2012 0:00:00,"Grouse Point","SK","F25","PB","Tamias minimus",3797.00,"3797","Ear tag","Male","Non-scrotal",99.00,29.00,13.00,39.00,,
307,7/7/2012 0:00:00,"Grouse Point","JB","M18","Seed","Tamias minimus",3901.00,"3901","Ear tag","Female","Reprod.",101.00,30.00,14.00,49.00,"Ran with tail up",
308,7/9/2012 0:00:00,"Grouse Point","JB","M13","PB","Tamias minimus",3901.00,"3901","Recap","Female","Reprod.",,,,46.00,,
309,7/8/2012 0:00:00,"Grouse Point","SY","F18","Seed","Tamias minimus",3903.00,"3903","Ear tag","Female","Non-reprod.",95.00,30.00,16.00,36.00,,"ID verified with skull"
310,7/9/2012 0:00:00,"Grouse Point","SK","F23","Seed","Tamias minimus",3903.00,"3903","Recap","Female","Non-reprod.",,,,34.00,,"ID verified with skull"
311,7/11/2012 0:00:00,"Grouse Point","JH","M42","PB","Tamias minimus",3903.00,"3903","Recap; Collected","Female","Non-reprod.",,,,35.00,"Movement from F23 to M42 is possible","ID verified with skull"
312,7/8/2012 0:00:00,"Grouse Point","JB","F22","PB","Tamias minimus",3904.00,"3904","Ear tag","Female","Non-reprod.",95.00,27.00,12.00,38.00,,
313,7/8/2012 0:00:00,"Grouse Point","SK","F23","Seed","Tamias minimus",3906.00,"3906","Ear tag","Female","Non-reprod.",104.00,30.00,8.00,44.00,,
315,7/9/2012 0:00:00,"Grouse Point","JB","M40","Seed","Tamias minimus",3906.00,"3906","Recap","Female","Non-reprod.",,,,42.00,,
316,7/8/2012 0:00:00,"Grouse Point","JB","F24","PB","Tamias minimus",3907.00,"3907","Ear tag","Female","Reprod.",95.00,26.00,13.00,51.00,,
317,7/11/2012 0:00:00,"Grouse Point","SK","F26","PB","Tamias minimus",3907.00,"3907","Recap","Female","Reprod.",,,,49.00,,
318,7/8/2012 0:00:00,"Grouse Point","JB","F36","PB","Tamias minimus",3910.00,"3910","Ear tag","Male","Non-scrotal",95.00,27.00,12.00,38.00,"Old break in tail about 60mm from base",
319,7/9/2012 0:00:00,"Grouse Point","SK","F34","PB","Tamias minimus",3910.00,"3910","Recap","Male","Non-scrotal",,,,39.00,,
320,7/11/2012 0:00:00,"Grouse Point","SY","M49","Seed","Tamias minimus",3910.00,"3910","Recap","Male","Non-scrotal",,,,48.00,"Called S in hand. Became scrotal? NS in previous captures. Movement from F34 to M49 is possible.",
321,7/8/2012 0:00:00,"Grouse Point","SK","F44","PB","Tamias minimus",3914.00,"3914","Ear tag","Female","Reprod.",95.00,29.00,13.00,51.50,,"ID verified with skull"
322,7/9/2012 0:00:00,"Grouse Point","SK","F50","Seed","Tamias minimus",3914.00,"3914","Recap","Female","Reprod.",,,,48.00,,"ID verified with skull"
323,7/10/2012 0:00:00,"Grouse Point","SY","F49","Seed","Tamias minimus",3914.00,"3914","Recap","Female","Reprod.",,,,47.50,,"ID verified with skull"
324,7/11/2012 0:00:00,"Grouse Point","JB","F50","Seed","Tamias minimus",3914.00,"3914","Recap; Collected","Female","Reprod.",,,,47.50,,"ID verified with skull"
325,7/8/2012 0:00:00,"Grouse Point","JB","F47","Seed","Tamias minimus",3916.00,"3916","Ear tag","Male","Non-scrotal",99.00,28.00,14.00,44.00,,
326,7/9/2012 0:00:00,"Grouse Point","SK","F45","Seed","Tamias minimus",3916.00,"3916","Recap","Male","Non-scrotal",,,,39.00,"Called S in hand, but NS in other captures",
327,7/11/2012 0:00:00,"Grouse Point","SK","F51","Seed","Tamias minimus",3916.00,"3916","Recap","Male","Non-scrotal",,,,42.00,,
328,7/8/2012 0:00:00,"Grouse Point","JB","F15","Seed","Tamias minimus",3918.00,"3918","Ear tag","Male","Scrotal",97.00,29.00,14.00,45.00,"Called NS in hand, but S in other captures",
329,7/9/2012 0:00:00,"Grouse Point","JH","F18","Seed","Tamias minimus",3918.00,"3918","Recap","Male","Scrotal",,,,43.00,,
330,7/11/2012 0:00:00,"Grouse Point","JB","F22","Seed","Tamias minimus",3918.00,"3918","Recap","Male","Scrotal",,,,44.00,,
331,7/7/2012 0:00:00,"Grouse Point","SK","M35","Seed","Tamias minimus",3924.00,"3924","Ear tag","Female","Reprod.",100.00,30.00,11.00,57.00,,
332,7/8/2012 0:00:00,"Grouse Point","SK","M35","Seed","Tamias minimus",3924.00,"3924","Recap","Female","Reprod.",,,,55.00,,
333,7/9/2012 0:00:00,"Grouse Point","SY","M33","PB","Tamias minimus",3924.00,"3924","Recap","Female","Reprod.",,,,57.00,,
334,7/11/2012 0:00:00,"Grouse Point","SY","M31","Seed","Tamias minimus",3924.00,"3924","Recap","Female","Reprod.",,,,54.00,,
335,7/8/2012 0:00:00,"Grouse Point","SK","F49","Seed","Tamias minimus",3925.00,"3925","Ear tag","Female","Non-reprod.",91.00,29.00,14.00,42.00,,
336,7/9/2012 0:00:00,"Grouse Point","SK","F46","PB","Tamias minimus",3925.00,"3925","Recap","Female","Non-reprod.",,,,42.00,,
337,7/10/2012 0:00:00,"Grouse Point","JB","F43","Seed","Tamias minimus",3925.00,"3925","Recap","Female","Non-reprod.",,,,41.00,,
338,7/11/2012 0:00:00,"Grouse Point","SK","F49","Seed","Tamias minimus",3925.00,"3925","Recap","Female","Non-reprod.",,,,40.00,,
