"ID","Site .","Elevation","Team","Date","Transect","Species","Trap No","Tag/ Clip","Fate","Sex","Reprod","Mass","Bait","Notes","tail","hindfoot","ear","SK notes","Field19","Field20","Field21","Field22","Field23","Field24","Field25","Field26","Field27"
36,"Hovenweep","1700-1800","SK, WW",8/15/2011 0:00:00,"Forest","Perognathus flavus","F72","0220","Toe clip","Male","Non-scrotal",8.50,"Seed",,55.00,15.00,6.00,,,,,,,,,,
37,"Hovenweep","1700-1800","SK, WW",8/15/2011 0:00:00,"Forest","Perognathus flavus","F41","0230","Toe clip","Female","Reprod.",8.00,"Seed",,50.00,135.00,5.00,,,,,,,,,,
38,"Hovenweep","1700-1800","RP, JH",8/16/2011 0:00:00,"Forest","Perognathus flavus","F47","0230","Recap","Female","Reprod.",7.50,"Seed",,,,,,,,,,,,,,
39,"Hovenweep","1700-1800","SK, WW",8/15/2011 0:00:00,"Forest","Perognathus flavus","F8","0240","Toe clip","Male","Non-scrotal",7.00,"PB",,62.00,16.00,6.00,,,,,,,,,,
40,"Hovenweep","1700-1800","SK, RP, JH, WW, AW",8/12/2011 0:00:00,"Forest","Perognathus flavus","F19","0300","Toe clip","Female","Non-reprod.",7.00,"PB",,53.00,16.00,6.00,,,,,,,,,,
41,"Hovenweep","1700-1800","JH, RP",8/14/2011 0:00:00,"Forest","Perognathus flavus","F24","0300","Recap","Female","Non-reprod.",7.00,"Seed",,,,,,,,,,,,,,
42,"Hovenweep","1700-1800","SK, RP, JH, WW, AW",8/12/2011 0:00:00,"Forest","Perognathus flavus","F24","0400","Toe clip","Male","Non-scrotal",6.50,"Seed",,57.00,17.00,5.00,,,,,,,,,,
43,"Hovenweep","1700-1800","SK, RP, JH, WW, AW",8/13/2011 0:00:00,"Forest","Perognathus flavus","F33","0400","Recap",,,7.00,"Seed","recap, but wrong clip 0100, probably 0400",,,,,,,,,,,,,
44,"Hovenweep","1700-1800","SK, WW",8/15/2011 0:00:00,"Forest","Perognathus flavus","F24","0400","Recap","Male","Non-scrotal",7.00,"Seed",,,,,,,,,,,,,,
45,"Hovenweep","1700-1800","RP, JH",8/16/2011 0:00:00,"Forest","Perognathus flavus","F30","0400","Recap","Male","Non-scrotal",6.50,"PB","very large movement for 0200, probably 0400",,,,,,,,,,,,,
46,"Hovenweep","1700-1800","SK, RP, JH, WW, AW",8/12/2011 0:00:00,"Meadow","Perognathus flavus","M21","1000","Toe clip","Female","Non-reprod.",7.50,"Seed",,58.00,15.00,7.00,,,,,,,,,,
47,"Hovenweep","1700-1800","SK, RP, JH, WW, AW",8/13/2011 0:00:00,"Meadow","Perognathus flavus","M20","1000","Recap","Female","Non-reprod.",7.00,"PB",,,,,,,,,,,,,,
48,"Hovenweep","1700-1800","SK, RP, JH, WW, AW",8/13/2011 0:00:00,"Rocky","Perognathus flavus","R2","1100","Toe clip","Female","Non-reprod.",8.00,"PB",,57.00,22.00,6.00,,,,,,,,,,
49,"Hovenweep","1700-1800","SK, RP, JH, WW, AW",8/13/2011 0:00:00,"Rocky","Perognathus flavus","R6","1200","Toe clip","Male","Non-scrotal",7.50,"PB",,53.00,16.00,6.00,,,,,,,,,,
