"ID","Date","Site .","Transect","Species","Trap No","Tag/ Clip","Indiv","Fate","Sex","Reprod","Mass","Bait","Notes","tail","hindfoot","ear","ID notes"
24,7/11/2012 0:00:00,"Hermosa","Meadow","Spermophilus lateralis","M39","376","376","Marked","Female","Reproductive",189.00,"PB",,,,,
25,7/11/2012 0:00:00,"Hermosa","Meadow","Spermophilus lateralis","M45","386","386","Marked","Female","Reproductive",199.00,"PB",,,,,
26,7/11/2012 0:00:00,"Hermosa","Meadow","Spermophilus lateralis","M5","397","397","Marked","Male","Scrotal",162.00,"PB",,,,,
27,7/11/2012 0:00:00,"Hermosa","Meadow","Tamias minimus","M116","307","307","Marked","Male","Non-scrotal",38.00,"Seed",,,,,
28,7/11/2012 0:00:00,"Hermosa","Meadow","Tamias minimus","M114","308","308","Marked","Male","Non-scrotal",41.50,"Seed",,,,,
29,7/12/2012 0:00:00,"Hermosa","Meadow","Tamias minimus","M116","308","308","Recap","Male","Non-scrotal",40.00,"Seed",,,,,
30,7/11/2012 0:00:00,"Hermosa","Meadow","Tamias minimus","M100","310","310","Marked","Male","Non-scrotal",41.00,"Seed",,,,,
31,7/12/2012 0:00:00,"Hermosa","Meadow","Tamias minimus","M101","310","310","Recap","Male","Non-scrotal",39.00,"PB",,,,,
32,7/11/2012 0:00:00,"Hermosa","Meadow","Tamias minimus","M69","311","311","Marked","Male","Non-scrotal",43.00,"PB",,,,,
33,7/11/2012 0:00:00,"Hermosa","Meadow","Tamias minimus","M47","312","312","Marked","Female","Reproductive",53.50,"PB",,,,,
34,7/12/2012 0:00:00,"Hermosa","Meadow","Tamias minimus","M46","312","312","Recap","Female","Reproductive",54.00,"PB",,,,,
35,7/10/2012 0:00:00,"Hermosa","Meadow","Tamias minimus","M12","314","314","Marked","Female","Reproductive",52.00,"Seed",,,,,
36,7/11/2012 0:00:00,"Hermosa","Meadow","Tamias minimus","M10","314","314","Recap","Female","Reproductive",51.00,"PB",,,,,
37,7/10/2012 0:00:00,"Hermosa","Meadow","Tamias minimus","M45","315","315","Marked","Female","Reproductive",,"Seed","Escaped weighing",,,,
38,7/12/2012 0:00:00,"Hermosa","Meadow","Tamias minimus","M42","315","315","Recap","Female","Reproductive",48.00,"Seed","Stubbed tail",,,,
39,7/10/2012 0:00:00,"Hermosa","Meadow","Tamias minimus","M25","316","316a","Recap, collected","Female","Non-reprod.",40.00,"Seed","Notched ear--lost ear tag? Moribund, collected",,,,"ID verified with skull"
40,7/12/2012 0:00:00,"Hermosa","Forest","Tamias minimus","F4","316","316b","Recap","Male","Scrotal",39.00,"PB",,,,,
41,7/10/2012 0:00:00,"Hermosa","Forest","Tamias minimus","F29","317","317","Marked","Male","Non-scrotal",42.50,"Seed",,,,,
42,7/11/2012 0:00:00,"Hermosa","Forest","Tamias minimus","F19","317","317","Recap","Male","Non-scrotal",44.00,"Seed",,,,,
43,7/12/2012 0:00:00,"Hermosa","Forest","Tamias minimus","F23","317","317","Recap","Male","Non-scrotal",45.00,"Seed",,,,,
44,7/10/2012 0:00:00,"Hermosa","Forest","Tamias minimus","F5","318","318","Marked","Male","Non-scrotal",37.00,"Seed",,,,,
45,7/11/2012 0:00:00,"Hermosa","Forest","Tamias minimus","F1","318","318","Recap","Male","Non-scrotal",37.00,"Seed",,,,,
46,7/9/2012 0:00:00,"Hermosa","Forest","Tamias minimus","F30","354","354","Marked","Female","X",58.50,"PB",,,,,
47,7/12/2012 0:00:00,"Hermosa","Forest","Tamias minimus","F8","354","354","Recap","Female","X",54.00,"PB",,,,,
48,7/9/2012 0:00:00,"Hermosa","Meadow","Tamias minimus","M52","355","355","Marked","Female","Reproductive",48.00,"Seed",,,,,
49,7/10/2012 0:00:00,"Hermosa","Meadow","Tamias minimus","M55","355","355","Recap","Female","Reproductive",46.00,"Seed",,,,,
50,7/9/2012 0:00:00,"Hermosa","Meadow","Tamias minimus","M103","356","356","Marked","Female","Non-reprod.",43.50,"PB",,,,,
51,7/10/2012 0:00:00,"Hermosa","Meadow","Tamias minimus","M106","356","356","Recap","Female","Non-reprod.",45.00,"PB",,,,,
52,7/11/2012 0:00:00,"Hermosa","Meadow","Tamias minimus","M102","356","356","Recap","Female","Non-reprod.",41.00,"Seed",,,,,
