"ID","Date","Site","Observer","Trap No","Bait","Species","Tag/ Clip","Indiv","Fate","Sex","Reprod","tail","hindfoot","ear","Mass","Notes","ID notes"
149,7/21/2012 0:00:00,"556H","SK","M17","Seed","Peromyscus maniculatus",3874.00,"3874","Ear tag","Male","Non-scrotal",67.00,20.00,16.00,14.00,,
150,7/22/2012 0:00:00,"556H","SY","M17","Seed","Peromyscus maniculatus",3874.00,"3874","Recap","Male","Non-scrotal",,,,12.00,"Double-checked scrotal state",
151,7/22/2012 0:00:00,"556H","SK","F39","PB","Peromyscus maniculatus",,"r","New, released","Female","Non-reprod.",59.00,19.00,15.00,11.50,,
152,7/22/2012 0:00:00,"556H","JH","F58","Seed","Peromyscus maniculatus",,"s","New, released","Male","Scrotal",71.00,20.00,19.00,22.50,,
153,7/22/2012 0:00:00,"556H","SK","F75","Seed","Peromyscus maniculatus",,"t","New, released","Female","Non-reprod.",55.00,19.00,15.00,10.00,,
154,7/22/2012 0:00:00,"556H","JB","M16","PB","Peromyscus maniculatus",,"u","New, released","Male","Scrotal",68.00,19.00,17.00,24.00,,
155,7/22/2012 0:00:00,"556H","SY","M35","PB","Peromyscus maniculatus",,"v","New, released","Female","Non-reprod.",65.00,19.00,15.00,17.00,,
156,7/22/2012 0:00:00,"556H","SK","W2","PB","Peromyscus maniculatus",,"w","New, released","Male","Scrotal",67.00,20.00,18.00,19.00,,
158,7/19/2012 0:00:00,"556H","SK","W8","Seed","Tamias minimus",3800.00,"3800","Ear tag","Male","Non-scrotal",100.00,30.00,13.00,35.00,,
159,7/20/2012 0:00:00,"556H","JB","W9","Seed","Tamias minimus",3800.00,"3800","Recap","Male","Non-scrotal",,,,35.00,,
160,7/20/2012 0:00:00,"556H","SK","F8","PB","Tamias minimus",3809.00,"3809","Ear tag","Female","Non-reprod.",89.00,28.00,14.00,35.00,,
161,7/22/2012 0:00:00,"556H","SY","F7","Seed","Tamias minimus",3809.00,"3809","Recap","Female","Non-reprod.",,,,36.00,,
162,7/20/2012 0:00:00,"556H","SY","W24","Seed","Tamias minimus",3812.00,"3812","Ear tag","Male","Non-scrotal",93.00,30.00,15.00,41.00,,
163,7/22/2012 0:00:00,"556H","JH","F3","Seed","Tamias minimus",3812.00,"3812","Recap","Male","Non-scrotal",,,,43.00,"Movement from W24 to F3 is possible, as the beginning of the Forest runs parallel to the end of the Riparian",
164,7/20/2012 0:00:00,"556H","JH","F60","PB","Tamias minimus",3813.00,"3813","Ear tag","Female","Non-reprod.",102.00,30.00,12.00,43.00,,
165,7/21/2012 0:00:00,"556H","SY","F56","PB","Tamias minimus",3813.00,"3813","Recap","Female","Non-reprod.",,,,47.00,,
166,7/22/2012 0:00:00,"556H","SY","F47","PB","Tamias minimus",3813.00,"3813","Recap","Female","Non-reprod.",,,,48.00,,
167,7/20/2012 0:00:00,"556H","JH","F29","Seed","Tamias minimus",3814.00,"3814","Ear tag","Female","Non-reprod.",82.00,28.00,13.00,34.00,,
168,7/21/2012 0:00:00,"556H","JB","F15","PB","Tamias minimus",3814.00,"3814","Recap","Female","Non-reprod.",,,,34.00,,
169,7/19/2012 0:00:00,"556H","SK","F32","Seed","Tamias minimus",3819.00,"3819","Ear tag","Male","Non-scrotal",97.00,28.00,14.00,35.00,,
170,7/20/2012 0:00:00,"556H","JH","F37","Seed","Tamias minimus",3819.00,"3819","Recap","Male","Non-scrotal",,,,36.50,,
171,7/21/2012 0:00:00,"556H","SY","F36","Seed","Tamias minimus",3819.00,"3819","Recap","Male","Non-scrotal",,,,35.50,,
172,7/21/2012 0:00:00,"556H","JH","F11","Seed","Tamias minimus",3851.00,"3851","Ear tag","Female","Reprod.",90.00,27.00,14.00,47.00,,
173,7/22/2012 0:00:00,"556H","JB","F14","Seed","Tamias minimus",3851.00,"3851","Recap","Female","Reprod.",,,,47.00,,
174,7/21/2012 0:00:00,"556H","SK","F19","PB","Tamias minimus",3853.00,"3853","Ear tag","Male","Non-scrotal",100.00,29.00,13.00,41.00,,
175,7/21/2012 0:00:00,"556H","SK","F58","PB","Tamias minimus",3863.00,"3863","Ear tag","Female","Reprod.",105.00,29.00,13.00,54.00,,
176,7/21/2012 0:00:00,"556H","SK","F33","Seed","Tamias minimus",3864.00,"3864","Ear tag","Female","Reprod.",101.00,29.00,13.00,47.00,,
177,7/21/2012 0:00:00,"556H","JB","M20","PB","Tamias minimus",3873.00,"3873","Ear tag","Male","Scrotal",99.00,30.00,14.00,32.00,,
178,7/22/2012 0:00:00,"556H","SK","F4","PB","Tamias minimus",,"x","New, released","Male","Scrotal",92.00,28.00,12.00,37.00,,
179,7/22/2012 0:00:00,"556H","SK","F54","Seed","Tamias minimus",,"y","New, released","Male","Non-scrotal",99.00,28.00,12.00,39.00,,
180,7/22/2012 0:00:00,"556H","JB","F55","PB","Tamias minimus",,"z","New, released","Male","Scrotal",95.00,29.00,12.00,36.00,,
181,7/22/2012 0:00:00,"556H","SY","F56","PB","Tamias minimus",,"aa","New, released","Male","Non-scrotal",95.00,29.00,14.00,41.00,,
182,7/22/2012 0:00:00,"556H","SY","W30","PB","Tamias minimus",,"bb","New; Collected","Male","Non-scrotal",90.00,30.00,16.00,36.00,"Dead in trap","ID verified with skull"
