bin,Elevation,spp,Abbrev,Y,Ytot,binsAway,distAway,distAway_sc,interpPatchy,spAbund,delta,era,mtn,set
45,3600,19,Peflavu,0,78,48,2400,1.9282706428755896,1,0,0.21963280535356566,C,FR,FR_C
46,3650,19,Peflavu,0,107,48,2400,1.9282706428755896,1,0,0.21963280535356566,C,FR,FR_C
47,3700,19,Peflavu,0,19,48,2400,1.9282706428755896,1,0,0.21963280535356566,C,FR,FR_C
48,3750,19,Peflavu,0,0,48,2400,1.9282706428755896,1,0,0.21963280535356566,C,FR,FR_C
1,1400,20,Peboy,0,0,6,300,-0.48011427044573224,0,5,0.433547130177479,C,FR,FR_C
2,1450,20,Peboy,0,0,5,250,-0.5374567683819542,0,5,0.433547130177479,C,FR,FR_C
3,1500,20,Peboy,0,19,4,200,-0.5947992663181761,0,5,0.433547130177479,C,FR,FR_C
4,1550,20,Peboy,0,13,3,150,-0.6521417642543981,0,5,0.433547130177479,C,FR,FR_C
5,1600,20,Peboy,0,16,2,100,-0.70948426219062,0,5,0.433547130177479,C,FR,FR_C
6,1650,20,Peboy,0,58,1,50,-0.7668267601268419,0,5,0.433547130177479,C,FR,FR_C
7,1700,20,Peboy,5,581,0,0,-0.824169258063064,0,5,0.433547130177479,C,FR,FR_C
8,1750,20,Peboy,0,41,1,50,-0.7668267601268419,0,5,0.433547130177479,C,FR,FR_C
9,1800,20,Peboy,0,72,2,100,-0.70948426219062,0,5,0.433547130177479,C,FR,FR_C
10,1850,20,Peboy,0,39,3,150,-0.6521417642543981,0,5,0.433547130177479,C,FR,FR_C
11,1900,20,Peboy,0,207,4,200,-0.5947992663181761,0,5,0.433547130177479,C,FR,FR_C
12,1950,20,Peboy,0,46,5,250,-0.5374567683819542,0,5,0.433547130177479,C,FR,FR_C
13,2000,20,Peboy,0,2,6,300,-0.48011427044573224,0,5,0.433547130177479,C,FR,FR_C
14,2050,20,Peboy,0,45,7,350,-0.42277177250951026,0,5,0.433547130177479,C,FR,FR_C
15,2100,20,Peboy,0,234,8,400,-0.36542927457328833,0,5,0.433547130177479,C,FR,FR_C
16,2150,20,Peboy,0,248,9,450,-0.3080867766370664,0,5,0.433547130177479,C,FR,FR_C
17,2200,20,Peboy,0,303,10,500,-0.2507442787008444,0,5,0.433547130177479,C,FR,FR_C
18,2250,20,Peboy,0,2,11,550,-0.1934017807646225,0,5,0.433547130177479,C,FR,FR_C
19,2300,20,Peboy,0,7,12,600,-0.13605928282840055,0,5,0.433547130177479,C,FR,FR_C
20,2350,20,Peboy,0,22,13,650,-0.0787167848921786,0,5,0.433547130177479,C,FR,FR_C
21,2400,20,Peboy,0,171,14,700,-0.021374286955956657,0,5,0.433547130177479,C,FR,FR_C
22,2450,20,Peboy,0,18,15,750,0.035968210980265286,0,5,0.433547130177479,C,FR,FR_C
23,2500,20,Peboy,0,2,16,800,0.09331070891648724,0,5,0.433547130177479,C,FR,FR_C
24,2550,20,Peboy,0,9,17,850,0.1506532068527092,0,5,0.433547130177479,C,FR,FR_C
25,2600,20,Peboy,0,56,18,900,0.20799570478893112,0,5,0.433547130177479,C,FR,FR_C
26,2650,20,Peboy,0,44,19,950,0.26533820272515307,0,5,0.433547130177479,C,FR,FR_C
27,2700,20,Peboy,0,188,20,1000,0.322680700661375,0,5,0.433547130177479,C,FR,FR_C
28,2750,20,Peboy,0,77,21,1050,0.380023198597597,0,5,0.433547130177479,C,FR,FR_C
29,2800,20,Peboy,0,169,22,1100,0.4373656965338189,0,5,0.433547130177479,C,FR,FR_C
30,2850,20,Peboy,0,60,23,1150,0.4947081944700409,0,5,0.433547130177479,C,FR,FR_C
31,2900,20,Peboy,0,40,24,1200,0.5520506924062628,0,5,0.433547130177479,C,FR,FR_C
32,2950,20,Peboy,0,56,25,1250,0.6093931903424847,0,5,0.433547130177479,C,FR,FR_C
33,3000,20,Peboy,0,88,26,1300,0.6667356882787067,0,5,0.433547130177479,C,FR,FR_C
34,3050,20,Peboy,0,63,27,1350,0.7240781862149287,0,5,0.433547130177479,C,FR,FR_C
35,3100,20,Peboy,0,119,28,1400,0.7814206841511506,0,5,0.433547130177479,C,FR,FR_C
36,3150,20,Peboy,0,49,29,1450,0.8387631820873725,0,5,0.433547130177479,C,FR,FR_C
37,3200,20,Peboy,0,13,30,1500,0.8961056800235945,0,5,0.433547130177479,C,FR,FR_C
38,3250,20,Peboy,0,17,31,1550,0.9534481779598164,0,5,0.433547130177479,C,FR,FR_C
39,3300,20,Peboy,0,36,32,1600,1.0107906758960383,0,5,0.433547130177479,C,FR,FR_C
40,3350,20,Peboy,0,200,33,1650,1.0681331738322604,0,5,0.433547130177479,C,FR,FR_C
41,3400,20,Peboy,0,32,34,1700,1.1254756717684822,0,5,0.433547130177479,C,FR,FR_C
42,3450,20,Peboy,0,103,35,1750,1.1828181697047042,0,5,0.433547130177479,C,FR,FR_C
43,3500,20,Peboy,0,11,36,1800,1.2401606676409263,0,5,0.433547130177479,C,FR,FR_C
44,3550,20,Peboy,0,1,37,1850,1.297503165577148,0,5,0.433547130177479,C,FR,FR_C
45,3600,20,Peboy,0,78,38,1900,1.35484566351337,0,5,0.433547130177479,C,FR,FR_C
46,3650,20,Peboy,0,107,39,1950,1.412188161449592,0,5,0.433547130177479,C,FR,FR_C
47,3700,20,Peboy,0,19,40,2000,1.469530659385814,0,5,0.433547130177479,C,FR,FR_C
48,3750,20,Peboy,0,0,41,2050,1.526873157322036,0,5,0.433547130177479,C,FR,FR_C
1,1400,21,Peman,0,0,2,100,-0.70948426219062,0.13333333333333333,1949,0.4296959138737838,C,FR,FR_C
2,1450,21,Peman,0,0,1,50,-0.7668267601268419,0.13333333333333333,1949,0.4296959138737838,C,FR,FR_C
3,1500,21,Peman,8,19,0,0,-0.824169258063064,0.13333333333333333,1949,0.4296959138737838,C,FR,FR_C
4,1550,21,Peman,11,13,0,0,-0.824169258063064,0.13333333333333333,1949,0.4296959138737838,C,FR,FR_C
5,1600,21,Peman,8,16,0,0,-0.824169258063064,0.13333333333333333,1949,0.4296959138737838,C,FR,FR_C
6,1650,21,Peman,45,58,0,0,-0.824169258063064,0.13333333333333333,1949,0.4296959138737838,C,FR,FR_C
7,1700,21,Peman,299,581,0,0,-0.824169258063064,0.13333333333333333,1949,0.4296959138737838,C,FR,FR_C
8,1750,21,Peman,29,41,0,0,-0.824169258063064,0.13333333333333333,1949,0.4296959138737838,C,FR,FR_C
9,1800,21,Peman,29,72,0,0,-0.824169258063064,0.13333333333333333,1949,0.4296959138737838,C,FR,FR_C
10,1850,21,Peman,15,39,0,0,-0.824169258063064,0.13333333333333333,1949,0.4296959138737838,C,FR,FR_C
11,1900,21,Peman,125,207,0,0,-0.824169258063064,0.13333333333333333,1949,0.4296959138737838,C,FR,FR_C
12,1950,21,Peman,12,46,0,0,-0.824169258063064,0.13333333333333333,1949,0.4296959138737838,C,FR,FR_C
13,2000,21,Peman,0,2,0,0,-0.824169258063064,0.13333333333333333,1949,0.4296959138737838,C,FR,FR_C
14,2050,21,Peman,27,45,0,0,-0.824169258063064,0.13333333333333333,1949,0.4296959138737838,C,FR,FR_C
15,2100,21,Peman,174,234,0,0,-0.824169258063064,0.13333333333333333,1949,0.4296959138737838,C,FR,FR_C
16,2150,21,Peman,142,248,0,0,-0.824169258063064,0.13333333333333333,1949,0.4296959138737838,C,FR,FR_C
17,2200,21,Peman,252,303,0,0,-0.824169258063064,0.13333333333333333,1949,0.4296959138737838,C,FR,FR_C
18,2250,21,Peman,0,2,0,0,-0.824169258063064,0.13333333333333333,1949,0.4296959138737838,C,FR,FR_C
19,2300,21,Peman,0,7,0,0,-0.824169258063064,0.13333333333333333,1949,0.4296959138737838,C,FR,FR_C
20,2350,21,Peman,7,22,0,0,-0.824169258063064,0.13333333333333333,1949,0.4296959138737838,C,FR,FR_C
21,2400,21,Peman,99,171,0,0,-0.824169258063064,0.13333333333333333,1949,0.4296959138737838,C,FR,FR_C
22,2450,21,Peman,0,18,0,0,-0.824169258063064,0.13333333333333333,1949,0.4296959138737838,C,FR,FR_C
23,2500,21,Peman,0,2,0,0,-0.824169258063064,0.13333333333333333,1949,0.4296959138737838,C,FR,FR_C
24,2550,21,Peman,3,9,0,0,-0.824169258063064,0.13333333333333333,1949,0.4296959138737838,C,FR,FR_C
25,2600,21,Peman,33,56,0,0,-0.824169258063064,0.13333333333333333,1949,0.4296959138737838,C,FR,FR_C
26,2650,21,Peman,23,44,0,0,-0.824169258063064,0.13333333333333333,1949,0.4296959138737838,C,FR,FR_C
27,2700,21,Peman,91,188,0,0,-0.824169258063064,0.13333333333333333,1949,0.4296959138737838,C,FR,FR_C
28,2750,21,Peman,49,77,0,0,-0.824169258063064,0.13333333333333333,1949,0.4296959138737838,C,FR,FR_C
29,2800,21,Peman,32,169,0,0,-0.824169258063064,0.13333333333333333,1949,0.4296959138737838,C,FR,FR_C
30,2850,21,Peman,36,60,0,0,-0.824169258063064,0.13333333333333333,1949,0.4296959138737838,C,FR,FR_C
31,2900,21,Peman,14,40,0,0,-0.824169258063064,0.13333333333333333,1949,0.4296959138737838,C,FR,FR_C
32,2950,21,Peman,19,56,0,0,-0.824169258063064,0.13333333333333333,1949,0.4296959138737838,C,FR,FR_C
33,3000,21,Peman,17,88,0,0,-0.824169258063064,0.13333333333333333,1949,0.4296959138737838,C,FR,FR_C
34,3050,21,Peman,7,63,0,0,-0.824169258063064,0.13333333333333333,1949,0.4296959138737838,C,FR,FR_C
35,3100,21,Peman,24,119,0,0,-0.824169258063064,0.13333333333333333,1949,0.4296959138737838,C,FR,FR_C
36,3150,21,Peman,12,49,0,0,-0.824169258063064,0.13333333333333333,1949,0.4296959138737838,C,FR,FR_C
37,3200,21,Peman,4,13,0,0,-0.824169258063064,0.13333333333333333,1949,0.4296959138737838,C,FR,FR_C
38,3250,21,Peman,2,17,0,0,-0.824169258063064,0.13333333333333333,1949,0.4296959138737838,C,FR,FR_C
39,3300,21,Peman,3,36,0,0,-0.824169258063064,0.13333333333333333,1949,0.4296959138737838,C,FR,FR_C
40,3350,21,Peman,45,200,0,0,-0.824169258063064,0.13333333333333333,1949,0.4296959138737838,C,FR,FR_C
41,3400,21,Peman,13,32,0,0,-0.824169258063064,0.13333333333333333,1949,0.4296959138737838,C,FR,FR_C
42,3450,21,Peman,70,103,0,0,-0.824169258063064,0.13333333333333333,1949,0.4296959138737838,C,FR,FR_C
43,3500,21,Peman,7,11,0,0,-0.824169258063064,0.13333333333333333,1949,0.4296959138737838,C,FR,FR_C
44,3550,21,Peman,0,1,0,0,-0.824169258063064,0.13333333333333333,1949,0.4296959138737838,C,FR,FR_C
45,3600,21,Peman,59,78,0,0,-0.824169258063064,0.13333333333333333,1949,0.4296959138737838,C,FR,FR_C
46,3650,21,Peman,93,107,0,0,-0.824169258063064,0.13333333333333333,1949,0.4296959138737838,C,FR,FR_C
47,3700,21,Peman,11,19,0,0,-0.824169258063064,0.13333333333333333,1949,0.4296959138737838,C,FR,FR_C
48,3750,21,Peman,0,0,1,50,-0.7668267601268419,0.13333333333333333,1949,0.4296959138737838,C,FR,FR_C
1,1400,22,Penas,0,0,5,250,-0.5374567683819542,0.5454545454545454,81,0.4231358807049443,C,FR,FR_C
2,1450,22,Penas,0,0,4,200,-0.5947992663181761,0.5454545454545454,81,0.4231358807049443,C,FR,FR_C
3,1500,22,Penas,0,19,3,150,-0.6521417642543981,0.5454545454545454,81,0.4231358807049443,C,FR,FR_C
4,1550,22,Penas,0,13,2,100,-0.70948426219062,0.5454545454545454,81,0.4231358807049443,C,FR,FR_C
5,1600,22,Penas,0,16,1,50,-0.7668267601268419,0.5454545454545454,81,0.4231358807049443,C,FR,FR_C
6,1650,22,Penas,3,58,0,0,-0.824169258063064,0.5454545454545454,81,0.4231358807049443,C,FR,FR_C
7,1700,22,Penas,75,581,0,0,-0.824169258063064,0.5454545454545454,81,0.4231358807049443,C,FR,FR_C
8,1750,22,Penas,0,41,0,0,-0.824169258063064,0.5454545454545454,81,0.4231358807049443,C,FR,FR_C
9,1800,22,Penas,0,72,0,0,-0.824169258063064,0.5454545454545454,81,0.4231358807049443,C,FR,FR_C
10,1850,22,Penas,0,39,0,0,-0.824169258063064,0.5454545454545454,81,0.4231358807049443,C,FR,FR_C
11,1900,22,Penas,1,207,0,0,-0.824169258063064,0.5454545454545454,81,0.4231358807049443,C,FR,FR_C
12,1950,22,Penas,0,46,0,0,-0.824169258063064,0.5454545454545454,81,0.4231358807049443,C,FR,FR_C
13,2000,22,Penas,0,2,0,0,-0.824169258063064,0.5454545454545454,81,0.4231358807049443,C,FR,FR_C
14,2050,22,Penas,0,45,0,0,-0.824169258063064,0.5454545454545454,81,0.4231358807049443,C,FR,FR_C
15,2100,22,Penas,1,234,0,0,-0.824169258063064,0.5454545454545454,81,0.4231358807049443,C,FR,FR_C
16,2150,22,Penas,1,248,0,0,-0.824169258063064,0.5454545454545454,81,0.4231358807049443,C,FR,FR_C
17,2200,22,Penas,0,303,1,50,-0.7668267601268419,0.5454545454545454,81,0.4231358807049443,C,FR,FR_C
18,2250,22,Penas,0,2,2,100,-0.70948426219062,0.5454545454545454,81,0.4231358807049443,C,FR,FR_C
19,2300,22,Penas,0,7,3,150,-0.6521417642543981,0.5454545454545454,81,0.4231358807049443,C,FR,FR_C
20,2350,22,Penas,0,22,4,200,-0.5947992663181761,0.5454545454545454,81,0.4231358807049443,C,FR,FR_C
21,2400,22,Penas,0,171,5,250,-0.5374567683819542,0.5454545454545454,81,0.4231358807049443,C,FR,FR_C
22,2450,22,Penas,0,18,6,300,-0.48011427044573224,0.5454545454545454,81,0.4231358807049443,C,FR,FR_C
23,2500,22,Penas,0,2,7,350,-0.42277177250951026,0.5454545454545454,81,0.4231358807049443,C,FR,FR_C
24,2550,22,Penas,0,9,8,400,-0.36542927457328833,0.5454545454545454,81,0.4231358807049443,C,FR,FR_C
25,2600,22,Penas,0,56,9,450,-0.3080867766370664,0.5454545454545454,81,0.4231358807049443,C,FR,FR_C
26,2650,22,Penas,0,44,10,500,-0.2507442787008444,0.5454545454545454,81,0.4231358807049443,C,FR,FR_C
27,2700,22,Penas,0,188,11,550,-0.1934017807646225,0.5454545454545454,81,0.4231358807049443,C,FR,FR_C
28,2750,22,Penas,0,77,12,600,-0.13605928282840055,0.5454545454545454,81,0.4231358807049443,C,FR,FR_C
29,2800,22,Penas,0,169,13,650,-0.0787167848921786,0.5454545454545454,81,0.4231358807049443,C,FR,FR_C
30,2850,22,Penas,0,60,14,700,-0.021374286955956657,0.5454545454545454,81,0.4231358807049443,C,FR,FR_C
31,2900,22,Penas,0,40,15,750,0.035968210980265286,0.5454545454545454,81,0.4231358807049443,C,FR,FR_C
32,2950,22,Penas,0,56,16,800,0.09331070891648724,0.5454545454545454,81,0.4231358807049443,C,FR,FR_C
33,3000,22,Penas,0,88,17,850,0.1506532068527092,0.5454545454545454,81,0.4231358807049443,C,FR,FR_C
34,3050,22,Penas,0,63,18,900,0.20799570478893112,0.5454545454545454,81,0.4231358807049443,C,FR,FR_C
35,3100,22,Penas,0,119,19,950,0.26533820272515307,0.5454545454545454,81,0.4231358807049443,C,FR,FR_C
36,3150,22,Penas,0,49,20,1000,0.322680700661375,0.5454545454545454,81,0.4231358807049443,C,FR,FR_C
37,3200,22,Penas,0,13,21,1050,0.380023198597597,0.5454545454545454,81,0.4231358807049443,C,FR,FR_C
38,3250,22,Penas,0,17,22,1100,0.4373656965338189,0.5454545454545454,81,0.4231358807049443,C,FR,FR_C
39,3300,22,Penas,0,36,23,1150,0.4947081944700409,0.5454545454545454,81,0.4231358807049443,C,FR,FR_C
40,3350,22,Penas,0,200,24,1200,0.5520506924062628,0.5454545454545454,81,0.4231358807049443,C,FR,FR_C
41,3400,22,Penas,0,32,25,1250,0.6093931903424847,0.5454545454545454,81,0.4231358807049443,C,FR,FR_C
42,3450,22,Penas,0,103,26,1300,0.6667356882787067,0.5454545454545454,81,0.4231358807049443,C,FR,FR_C
43,3500,22,Penas,0,11,27,1350,0.7240781862149287,0.5454545454545454,81,0.4231358807049443,C,FR,FR_C
44,3550,22,Penas,0,1,28,1400,0.7814206841511506,0.5454545454545454,81,0.4231358807049443,C,FR,FR_C
45,3600,22,Penas,0,78,29,1450,0.8387631820873725,0.5454545454545454,81,0.4231358807049443,C,FR,FR_C
46,3650,22,Penas,0,107,30,1500,0.8961056800235945,0.5454545454545454,81,0.4231358807049443,C,FR,FR_C
